arm,n_catchers,b_mean,b_lo,b_hi,a_mean,leaderboard_spread_runs,divergences,tau_catcher,tau_catcher_lo,tau_catcher_hi,tau_umpire,tau_umpire_lo,tau_umpire_hi,tau_pitcher,tau_pitcher_lo,tau_pitcher_hi,p_umpire_gt_catcher
free,148,1.088676,1.070658,1.106465,-0.041911,28.866983,0,0.188293,0.162354,0.217541,0.185712,0.162829,0.212601,0.181961,0.163192,0.201598,0.463500
fixed_1,148,1.000000,1.000000,1.000000,-0.041702,29.143110,0,0.183689,0.158081,0.211346,0.181614,0.158817,0.206970,0.175558,0.157110,0.194885,0.461500
