fit,n_rows,intercept,logit_base_slope,tau_catcher,tau_umpire,tau_pitcher
v1_vb_2023,351094,-0.016379,1.030919,0.191659,0.232627,0.198997
v1_vb_2021_2023,1040455,-0.067573,1.025530,0.183777,0.192122,0.185243
